,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,open_url,artist_name,title
0,0.82,0.285,0,-16.499,0,0.502,0.243,6.79e-06,0.0871,0.23,95.955,audio_features,46rCJx8YdbP5ZaQyh57fwE,spotify:track:46rCJx8YdbP5ZaQyh57fwE,https://api.spotify.com/v1/tracks/46rCJx8YdbP5ZaQyh57fwE,https://api.spotify.com/v1/audio-analysis/46rCJx8YdbP5ZaQyh57fwE,172139,4,https://open.spotify.com/track/46rCJx8YdbP5ZaQyh57fwE,The Frantic,Rock & Roll Renegade
1,0.434,0.726,7,-5.482,0,0.033,0.0351,0.288,0.476,0.7,92.751,audio_features,2Zv95uoSB1H4puVfAYbovF,spotify:track:2Zv95uoSB1H4puVfAYbovF,https://api.spotify.com/v1/tracks/2Zv95uoSB1H4puVfAYbovF,https://api.spotify.com/v1/audio-analysis/2Zv95uoSB1H4puVfAYbovF,203560,4,https://open.spotify.com/track/2Zv95uoSB1H4puVfAYbovF,Jackson United,Undertow
2,0.657,0.608,2,-13.565,1,0.0287,0.0088,3.45e-06,0.103,0.723,106.862,audio_features,3fcGGP62sllcNEhuFJVYeC,spotify:track:3fcGGP62sllcNEhuFJVYeC,https://api.spotify.com/v1/tracks/3fcGGP62sllcNEhuFJVYeC,https://api.spotify.com/v1/audio-analysis/3fcGGP62sllcNEhuFJVYeC,189293,4,https://open.spotify.com/track/3fcGGP62sllcNEhuFJVYeC,Jesus Jones,Nothing To Hold Me
3,0.657,0.608,2,-13.565,1,0.0287,0.0088,3.45e-06,0.103,0.723,106.862,audio_features,3fcGGP62sllcNEhuFJVYeC,spotify:track:3fcGGP62sllcNEhuFJVYeC,https://api.spotify.com/v1/tracks/3fcGGP62sllcNEhuFJVYeC,https://api.spotify.com/v1/audio-analysis/3fcGGP62sllcNEhuFJVYeC,189293,4,https://open.spotify.com/track/3fcGGP62sllcNEhuFJVYeC,Jesus Jones,All The Answers
4,0.904,0.0408,8,-20.97,1,0.0877,0.996,0.977,0.125,0.711,128.044,audio_features,51njLBUauFFc55XaeFZDzx,spotify:track:51njLBUauFFc55XaeFZDzx,https://api.spotify.com/v1/tracks/51njLBUauFFc55XaeFZDzx,https://api.spotify.com/v1/audio-analysis/51njLBUauFFc55XaeFZDzx,107077,3,https://open.spotify.com/track/51njLBUauFFc55XaeFZDzx,Gloriana,Clementina Santaf\xc3\xa8
5,0.391,0.265,11,-11.686,1,0.0418,0.939,4.8e-06,0.186,0.176,78.0,audio_features,6kMS4r4z30mtNxUwARDvbP,spotify:track:6kMS4r4z30mtNxUwARDvbP,https://api.spotify.com/v1/tracks/6kMS4r4z30mtNxUwARDvbP,https://api.spotify.com/v1/audio-analysis/6kMS4r4z30mtNxUwARDvbP,247118,4,https://open.spotify.com/track/6kMS4r4z30mtNxUwARDvbP,Bottom Of The Hudson,One of Us
6,0.482,0.32,5,-14.444,1,0.0766,0.981,0.0203,0.216,0.722,165.079,audio_features,2prAdcjH0NwKDsxPBsXBik,spotify:track:2prAdcjH0NwKDsxPBsXBik,https://api.spotify.com/v1/tracks/2prAdcjH0NwKDsxPBsXBik,https://api.spotify.com/v1/audio-analysis/2prAdcjH0NwKDsxPBsXBik,187693,4,https://open.spotify.com/track/2prAdcjH0NwKDsxPBsXBik,Blind Willie Johnson,If I Had My Way I'd Tear This Building Down
7,0.575,0.632,11,-6.657,0,0.0411,0.0624,0.231,0.381,0.606,82.042,audio_features,7qmC0VCxQjTeZjgk8r65yv,spotify:track:7qmC0VCxQjTeZjgk8r65yv,https://api.spotify.com/v1/tracks/7qmC0VCxQjTeZjgk8r65yv,https://api.spotify.com/v1/audio-analysis/7qmC0VCxQjTeZjgk8r65yv,259840,4,https://open.spotify.com/track/7qmC0VCxQjTeZjgk8r65yv,Anthony Watson,I'm Gonna Take My Time
8,0.374,0.504,2,-8.407,1,0.0392,0.806,0.0,0.76,0.27,109.025,audio_features,0BSmbCIY36iw04azzJ3S0S,spotify:track:0BSmbCIY36iw04azzJ3S0S,https://api.spotify.com/v1/tracks/0BSmbCIY36iw04azzJ3S0S,https://api.spotify.com/v1/audio-analysis/0BSmbCIY36iw04azzJ3S0S,315173,5,https://open.spotify.com/track/0BSmbCIY36iw04azzJ3S0S,Tweeterfriendly Music,Drop of Rain
9,0.394,0.243,3,-14.664,1,0.0302,0.658,0.00603,0.085,0.504,173.365,audio_features,20JcxdRw8gvqTY1EEpYxHb,spotify:track:20JcxdRw8gvqTY1EEpYxHb,https://api.spotify.com/v1/tracks/20JcxdRw8gvqTY1EEpYxHb,https://api.spotify.com/v1/audio-analysis/20JcxdRw8gvqTY1EEpYxHb,222400,3,https://open.spotify.com/track/20JcxdRw8gvqTY1EEpYxHb,Billie Jo Spears,Misty Blue
10,0.72,0.445,2,-10.981,0,0.0282,0.335,1.22e-05,0.0957,0.524,112.045,audio_features,3oyKhXaec8kcOtuCk7tXsZ,spotify:track:3oyKhXaec8kcOtuCk7tXsZ,https://api.spotify.com/v1/tracks/3oyKhXaec8kcOtuCk7tXsZ,https://api.spotify.com/v1/audio-analysis/3oyKhXaec8kcOtuCk7tXsZ,245939,4,https://open.spotify.com/track/3oyKhXaec8kcOtuCk7tXsZ,Pascal Obispo,Tomb\xc3\xa9 Pour Elle (L'\xc3\x8ele Aux Oiseaux)
11,0.769,0.467,0,-13.787,1,0.0503,0.126,0.11,0.0513,0.261,128.852,audio_features,5mES4lfufA5pVgj9JAHbUI,spotify:track:5mES4lfufA5pVgj9JAHbUI,https://api.spotify.com/v1/tracks/5mES4lfufA5pVgj9JAHbUI,https://api.spotify.com/v1/audio-analysis/5mES4lfufA5pVgj9JAHbUI,615507,4,https://open.spotify.com/track/5mES4lfufA5pVgj9JAHbUI,Jaydee,Plastic Dreams
12,0.562,0.332,0,-13.965,1,0.0448,0.609,0.957,0.157,0.304,131.052,audio_features,4XX5uZb9PvTKh8Nm2KSJfk,spotify:track:4XX5uZb9PvTKh8Nm2KSJfk,https://api.spotify.com/v1/tracks/4XX5uZb9PvTKh8Nm2KSJfk,https://api.spotify.com/v1/audio-analysis/4XX5uZb9PvTKh8Nm2KSJfk,88967,4,https://open.spotify.com/track/4XX5uZb9PvTKh8Nm2KSJfk,Antonio Koudele,Once Upon A Time
13,0.51,0.177,7,-16.481,1,0.0796,0.974,2.83e-05,0.792,0.43,125.302,audio_features,4RRupdTZxSEj1GIxjyW6QV,spotify:track:4RRupdTZxSEj1GIxjyW6QV,https://api.spotify.com/v1/tracks/4RRupdTZxSEj1GIxjyW6QV,https://api.spotify.com/v1/audio-analysis/4RRupdTZxSEj1GIxjyW6QV,164360,4,https://open.spotify.com/track/4RRupdTZxSEj1GIxjyW6QV,Gaetano Donizetti,Donizetti: Roberto Devereux: Ah! Ritorna qual ti spero....
14,0.621,0.136,9,-26.077,0,0.0396,0.859,0.906,0.111,0.131,140.068,audio_features,1hWZ0uScuJ6PSeoe2p4sKC,spotify:track:1hWZ0uScuJ6PSeoe2p4sKC,https://api.spotify.com/v1/tracks/1hWZ0uScuJ6PSeoe2p4sKC,https://api.spotify.com/v1/audio-analysis/1hWZ0uScuJ6PSeoe2p4sKC,132500,4,https://open.spotify.com/track/1hWZ0uScuJ6PSeoe2p4sKC,The Knightsbridge Strings,Whispering Grass
15,0.184,0.525,4,-18.369,0,0.0505,0.864,0.777,0.628,0.1,98.511,audio_features,3gDMowCL0zgKSKLXQcaCTN,spotify:track:3gDMowCL0zgKSKLXQcaCTN,https://api.spotify.com/v1/tracks/3gDMowCL0zgKSKLXQcaCTN,https://api.spotify.com/v1/audio-analysis/3gDMowCL0zgKSKLXQcaCTN,78893,3,https://open.spotify.com/track/3gDMowCL0zgKSKLXQcaCTN,John Williams,Everything I Do from Robin Hood
16,0.623,0.346,2,-15.779,1,0.0342,0.6,0.286,0.0784,0.468,126.267,audio_features,5rt1JXfJFIJOlzf0HpuPDv,spotify:track:5rt1JXfJFIJOlzf0HpuPDv,https://api.spotify.com/v1/tracks/5rt1JXfJFIJOlzf0HpuPDv,https://api.spotify.com/v1/audio-analysis/5rt1JXfJFIJOlzf0HpuPDv,294520,4,https://open.spotify.com/track/5rt1JXfJFIJOlzf0HpuPDv,Stanley Clarke,Journey To Love
17,0.742,0.556,1,-8.252,0,0.0262,0.234,0.73,0.108,0.721,110.995,audio_features,0PFvVZVRLMAN3hUntwUHeG,spotify:track:0PFvVZVRLMAN3hUntwUHeG,https://api.spotify.com/v1/tracks/0PFvVZVRLMAN3hUntwUHeG,https://api.spotify.com/v1/audio-analysis/0PFvVZVRLMAN3hUntwUHeG,216337,4,https://open.spotify.com/track/0PFvVZVRLMAN3hUntwUHeG,Every Time I Die,After One Quarter Of A Revolution
18,0.331,0.464,0,-5.062,1,0.0533,0.167,0.0,0.0915,0.755,166.161,audio_features,2D9tYpHiJiNZGsJIIGyvN6,spotify:track:2D9tYpHiJiNZGsJIIGyvN6,https://api.spotify.com/v1/tracks/2D9tYpHiJiNZGsJIIGyvN6,https://api.spotify.com/v1/audio-analysis/2D9tYpHiJiNZGsJIIGyvN6,284120,3,https://open.spotify.com/track/2D9tYpHiJiNZGsJIIGyvN6,Alacranes Musical,Indita Mia (Album Version)
19,0.516,0.438,0,-11.834,1,0.0321,0.851,0.0,0.403,0.42,132.519,audio_features,2s2Owv5k5HaXCkvwV8AbsG,spotify:track:2s2Owv5k5HaXCkvwV8AbsG,https://api.spotify.com/v1/tracks/2s2Owv5k5HaXCkvwV8AbsG,https://api.spotify.com/v1/audio-analysis/2s2Owv5k5HaXCkvwV8AbsG,192947,4,https://open.spotify.com/track/2s2Owv5k5HaXCkvwV8AbsG,Porter Wagoner,I Can't Be Your Man
20,0.527,0.418,7,-8.169,1,0.0296,0.882,0.0,0.0889,0.631,109.675,audio_features,5AnD1Tmu5hKPeHGyxGq6LJ,spotify:track:5AnD1Tmu5hKPeHGyxGq6LJ,https://api.spotify.com/v1/tracks/5AnD1Tmu5hKPeHGyxGq6LJ,https://api.spotify.com/v1/audio-analysis/5AnD1Tmu5hKPeHGyxGq6LJ,274716,4,https://open.spotify.com/track/5AnD1Tmu5hKPeHGyxGq6LJ,Leo Ku,Shi Shang Zui Qiang Man Hua Wang Da Luan Dou
21,0.443,0.479,0,-10.493,1,0.0341,0.07,0.0,0.221,0.384,136.188,audio_features,0kVBwUqmXSAg6wmU2t3hFd,spotify:track:0kVBwUqmXSAg6wmU2t3hFd,https://api.spotify.com/v1/tracks/0kVBwUqmXSAg6wmU2t3hFd,https://api.spotify.com/v1/audio-analysis/0kVBwUqmXSAg6wmU2t3hFd,238320,3,https://open.spotify.com/track/0kVBwUqmXSAg6wmU2t3hFd,Janet Paschal,The Lord Will Go Before You
22,0.369,0.771,7,-10.05,1,0.0633,0.000926,0.131,0.0792,0.392,143.971,audio_features,4iyW4RQlmcGj1i1igx17RD,spotify:track:4iyW4RQlmcGj1i1igx17RD,https://api.spotify.com/v1/tracks/4iyW4RQlmcGj1i1igx17RD,https://api.spotify.com/v1/audio-analysis/4iyW4RQlmcGj1i1igx17RD,220267,4,https://open.spotify.com/track/4iyW4RQlmcGj1i1igx17RD,Helmet,Tic
23,0.867,0.401,5,-9.49,1,0.255,0.408,0.743,0.072,0.49,81.125,audio_features,4AZ3e2OdN8kWk0q5oVF3dl,spotify:track:4AZ3e2OdN8kWk0q5oVF3dl,https://api.spotify.com/v1/tracks/4AZ3e2OdN8kWk0q5oVF3dl,https://api.spotify.com/v1/audio-analysis/4AZ3e2OdN8kWk0q5oVF3dl,179293,4,https://open.spotify.com/track/4AZ3e2OdN8kWk0q5oVF3dl,Dave And Ansel Collins,Two Four One
24,0.65,0.929,10,-5.323,0,0.0686,0.15,7.54e-05,0.16,0.662,139.26,audio_features,7Ih3kh2cht4eEXlhjvNzvP,spotify:track:7Ih3kh2cht4eEXlhjvNzvP,https://api.spotify.com/v1/tracks/7Ih3kh2cht4eEXlhjvNzvP,https://api.spotify.com/v1/audio-analysis/7Ih3kh2cht4eEXlhjvNzvP,155667,4,https://open.spotify.com/track/7Ih3kh2cht4eEXlhjvNzvP,Kiss,Anything For My Baby
25,0.627,0.647,11,-6.818,1,0.0294,0.0457,0.0,0.0655,0.521,91.015,audio_features,6hdsNoZWIjPSjxcOnsjIxj,spotify:track:6hdsNoZWIjPSjxcOnsjIxj,https://api.spotify.com/v1/tracks/6hdsNoZWIjPSjxcOnsjIxj,https://api.spotify.com/v1/audio-analysis/6hdsNoZWIjPSjxcOnsjIxj,272053,4,https://open.spotify.com/track/6hdsNoZWIjPSjxcOnsjIxj,Dave Hollister,I'm Wrong
26,0.627,0.647,11,-6.818,1,0.0294,0.0457,0.0,0.0655,0.521,91.015,audio_features,6hdsNoZWIjPSjxcOnsjIxj,spotify:track:6hdsNoZWIjPSjxcOnsjIxj,https://api.spotify.com/v1/tracks/6hdsNoZWIjPSjxcOnsjIxj,https://api.spotify.com/v1/audio-analysis/6hdsNoZWIjPSjxcOnsjIxj,272053,4,https://open.spotify.com/track/6hdsNoZWIjPSjxcOnsjIxj,Dave Hollister,I Know I Can
27,0.594,0.851,0,-7.595,0,0.03,0.342,0.928,0.362,0.377,90.504,audio_features,6gdsgpvao7kVcqbN4pusY1,spotify:track:6gdsgpvao7kVcqbN4pusY1,https://api.spotify.com/v1/tracks/6gdsgpvao7kVcqbN4pusY1,https://api.spotify.com/v1/audio-analysis/6gdsgpvao7kVcqbN4pusY1,357333,4,https://open.spotify.com/track/6gdsgpvao7kVcqbN4pusY1,B\xc3\xa9zu,Viens boire un petit coup \xc3\xa0 la maison
28,0.594,0.851,0,-7.595,0,0.03,0.342,0.928,0.362,0.377,90.504,audio_features,6gdsgpvao7kVcqbN4pusY1,spotify:track:6gdsgpvao7kVcqbN4pusY1,https://api.spotify.com/v1/tracks/6gdsgpvao7kVcqbN4pusY1,https://api.spotify.com/v1/audio-analysis/6gdsgpvao7kVcqbN4pusY1,357333,4,https://open.spotify.com/track/6gdsgpvao7kVcqbN4pusY1,Bonita & Jerry Cormier,La maison ou j'ai grandi
29,0.515,0.197,10,-15.348,0,0.128,0.307,0.0,0.0928,0.28,124.848,audio_features,1ALQx8OykapEaMlDxIZPEw,spotify:track:1ALQx8OykapEaMlDxIZPEw,https://api.spotify.com/v1/tracks/1ALQx8OykapEaMlDxIZPEw,https://api.spotify.com/v1/audio-analysis/1ALQx8OykapEaMlDxIZPEw,150339,4,https://open.spotify.com/track/1ALQx8OykapEaMlDxIZPEw,Don Francisco,Righteous Disgrace
